"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to check the CRUD functionality of reqres.in","I want to update new created user","SUCCESS","2022-06-23T13:25:10.936+01:00[Europe/London]","0.0","0.3"
"As a user I would like to check the CRUD functionality of reqres.in","I want to delete new created user","SUCCESS","2022-06-23T13:25:11.299+01:00[Europe/London]","0.0","0.16"
